Sample ID,SMILES
NCGC00019120-02,O=C1N\N=C2\CCCCCN12
NCGC00027933-02,CC1=N[NH]C2=C1C(C3=CC=C(Cl)C=C3)C(=C(N)/O2)\C#N
NCGC00034232-02,CN1CCNC(=O)C1CC(O)=O
NCGC00038620-02,CC1CCC2(CC1)NC(=O)N(CC(=O)NC3=CC=C(C)C=C3Cl)C2=O
NCGC00040817-02,ClC1=CC=CC=C1NC(=O)CN2C(=O)NC3(CCCCC3)C2=O
NCGC00048081-02,COC1=CC=CC=C1C[N]2C=NC3=CC=CN=C23
NCGC00052438-02,COC1=CC=C(C=C1)\C2=N\OC(C2)C(=O)NC(C)C
NCGC00052441-02,COC1=CC=C(C=C1)\C2=N\OC(C2)C(=O)NC(C)(C)C
NCGC00052457-02,COC1=CC=CC(=C1)\C2=N\OC(C2)C(=O)NC(C)C
NCGC00052459-02,COC1=CC=CC(=C1)\C2=N\OC(C2)C(=O)NC(C)(C)C
NCGC00054421-02,CC1=NN=C2C=CC(=N[N]12)N3CCCC3
NCGC00058784-02,CCOC(=O)\C1=C(/C)NC(=O)NC1C2=CC=CC=C2Cl
NCGC00064609-02,O=C(CN1C(=O)NC2(CCCCC2)C1=O)NCC\C3=C\CCCC3
NCGC00107615-02,CCCC/1=N/C2=C(SC3=C1C=C(C)C=C3)C=CC(=C2)C(=O)NCCC4=CC=CC=C4
NCGC00107915-02,COCCNC(=O)C1=CC\2=C(SC3=C(C=C(C)C=C3)\C(=N2)C)C=C1
NCGC00112026-02,COC1=CC=C(CNC(=O)C2=CC\3=C(SC4=C(C(=CC=C4C)C)\C(=N3)C)C=C2)C=C1
NCGC00174717-02,NCC1=C[NH]N=C1C2=CC=CC=C2
NCGC00178726-02,CN(C1CCCCC1)[S+]([O-])(=O)C2CC[S+]([O-])(=O)C2
NCGC00238958-02,CC1=C(CNC(=O)C2=CC3=C(OCO3)C=C2)C4=C(CN(CC4)C(=O)C5=CC=C6C=CC=CC6=C5)C=N1
NCGC00239983-02,CC1=C(CNC(=O)C2=CC3=C(OCO3)C=C2)C4=C(CN(CC4)C(=O)C5=COC6=C5C(=O)CCC6)C=N1
NCGC00245606-02,CC1=NN=C2C=CC(=N[N]12)N3CCOCC3
NCGC00267480-02,CC1=CC=C(C=C1)[S+]([O-])(=O)C2=C3N=C(N4CCOCC4)C5=CC=CC=C5[N]3N=N2
NCGC00293574-02,COC1=CC=CC=C1\C2=N\OC(C2)C(=O)NC(C)C
NCGC00293576-02,COC1=CC=CC=C1\C2=N\OC(C2)C(=O)NC(C)(C)C
NCGC00298496-02,CC/1=C/C(=O)N(CC(=O)NC2=CC=C(F)C=C2)/C(=N1)N3CCC4=CC=CC=C4C3
NCGC00301888-02,CCCC1=N[NH]C2=C1C(C3=CC=CC=C3)C(=C(N)/O2)\C#N
NCGC00305123-02,CC1=NN=C2C=CC(=N[N]12)NCC3=CC=C(F)C=C3
NCGC00305223-02,COCCN1C(=O)C2=CC=CC=C2C(C(=O)NC3=CC=CC(=C3)OC)C14CCCC4
NCGC00326711-02,CCNCC1=CC=C(O1)C2=CC=CC=C2
NCGC00330612-02,CCOCCCNCC1=CC=C(O1)C2=CC=CC=C2
NCGC00338390-02,COCCNCC1=CC=C(O1)C2=CC=C(F)C=C2
NCGC00338944-02,CNC1CCCC2=CC=CC=C12
NCGC00340331-02,CCCNCC1=CC=C(O1)C2=CC=CC=C2
NCGC00352776-02,CNC(C)C1=CC=CC=C1OC
NCGC00352906-02,[O-][S+]1(=O)CCC(C1)[S+]([O-])(=O)NC2CCCCC2
NCGC00353241-02,C1CNCC(C1)C2=CC=N[NH]2
NCGC00353282-02,CNC(C)C1=CC=CC=N1
NCGC00354117-02,CC(=O)NCC(=O)N1CCC[N]2C=C(N=C12)C3=CC=CC=C3F
NCGC00354182-02,NCC1(CCCCC1)N2CCCC2
NCGC00354500-02,CN(C)[S+]([O-])(=O)N1CCC(CC1)C2=CC(=N[NH]2)C3=CC=CC=C3
NCGC00358764-02,CC(NC(=O)C1=C(ON=C1C)C2=CC=CS2)C3=CC=CC4=CC=CC=C34
NCGC00371606-02,CNCC1=CC2=C(OCO2)C=C1
NCGC00373260-01,CC/1=N/OC2(CCCN(C2)C(=O)C3=NC=CC=C3)C1
NCGC00373262-01,COC1=CC(=CC=C1)[S+]([O-])(=O)N2CCCC3(C2)C\C(=N/O3)C
NCGC00373263-01,CC/1=N/OC2(CCCN(CC3CCCCC3)C2)C1
NCGC00373264-01,COC1=CC=C(C=C1)C(=O)N2CCCC3(C2)C\C(=N/O3)C
NCGC00373265-01,CC(C)C/1=N/OC2(CCCN(CC3=NC=CC=C3)C2)C1
NCGC00373267-01,CC(C)C/1=N/OC2(CCCN(CC3CCCC3)C2)C1
NCGC00373268-01,CC(C)C/1=N/OC2(CCCN(C2)C(=O)C3=NC=CC=C3)C1
NCGC00373269-01,CC(C)C/1=N/OC2(CCCN(C2)C(=O)C3=CC=CC=C3)C1
NCGC00373271-01,CC(C)C/1=N/OC2(CCCN(C2)[S+]([O-])(=O)C3=CC=CS3)C1
NCGC00373272-01,CC(C)C/1=N/OC2(CCCN(C2)[S+]([O-])(=O)C3=CC(=CC=C3)C(F)(F)F)C1
NCGC00373273-01,COC1=CC=CC(=C1)[S+]([O-])(=O)N2CCCC3(C2)C\C(=N/O3)C(C)C
NCGC00373276-01,[O-][S+](=O)(N1CCCC2(C1)C\C(=N/O2)C3=CC=CC=C3)C4=CC=CC=C4
NCGC00373277-01,O=C(N1CCCC2(C1)C\C(=N/O2)C3=CC=CC=C3)C4=CC=CC=C4
NCGC00373278-01,O=C(N1CCCC2(C1)C\C(=N/O2)C3=CC=CC=C3)C4=CC5=C(OCO5)C=C4
NCGC00373279-01,FC(F)(F)C1=CC=C(C=C1)C(=O)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4
NCGC00373283-01,O=C(CC1=CC=CC=C1)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4
NCGC00373284-01,COC1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4)C=C1
NCGC00373285-01,FC(F)(F)C1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4)C=C1
NCGC00373286-01,C1CCC(CC1)CN2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4
NCGC00373287-01,O=C(C1CCCCC1)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=C4
NCGC00373292-01,[O-][S+](=O)(N1CCCC2(C1)C\C(=N/O2)C3=CC=CC=N3)C4=CC=CS4
NCGC00373293-01,COC1=CC=CC(=C1)[S+]([O-])(=O)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=N4
NCGC00373295-01,O=C(CC1=CC=CC=C1)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=N4
NCGC00373296-01,C1CCC(C1)CN2CCCC3(C2)C\C(=N/O3)C4=CC=CC=N4
NCGC00373300-01,FC(F)(F)C1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC=CC=N4)C=C1
NCGC00373304-01,FC(F)(F)C1=CC=C(C=C1)C(=O)N2CCCC3(C2)C\C(=N/O3)C4=CC=CC=N4
NCGC00373308-01,[O-][S+](=O)(N1CCCC2(C1)C\C(=N/O2)C3=CC=CN=C3)C4=CC=CC=C4
NCGC00373309-01,COC1=CC(=CC=C1)[S+]([O-])(=O)N2CCCC3(C2)C\C(=N/O3)C4=CC=CN=C4
NCGC00373310-01,C1CCC(C1)CN2CCCC3(C2)C\C(=N/O3)C4=CC=CN=C4
NCGC00373311-01,[O-][S+](=O)(N1CCCC2(C1)C\C(=N/O2)C3=CC=CN=C3)C4=CC=CC(=C4)C(F)(F)F
NCGC00373314-01,FC(F)(F)C1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC=CN=C4)C=C1
NCGC00373315-01,O=C(N1CCCC2(C1)C\C(=N/O2)C3=CC=CN=C3)C4=CC=CC=C4
NCGC00373318-01,O=C(C1CCCCC1)N2CCCC3(C2)C\C(=N/O3)C4=CC=CN=C4
NCGC00373319-01,CC(=O)NC1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC=CN=C4)C=C1
NCGC00373321-01,FC(F)(F)C1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC(=CC=C4)C(F)(F)F)C=C1
NCGC00373323-01,FC(F)(F)C1=CC=CC(=C1)C/2=N/OC3(CCCN(C3)C(=O)C4=CC=C5OCOC5=C4)C2
NCGC00373326-01,COC1=CC=CC(=C1)[S+]([O-])(=O)N2CCCC3(C2)C\C(=N/O3)C4=CC(=CC=C4)C(F)(F)F
NCGC00373327-01,[O-][S+](=O)(N1CCCC2(C1)C\C(=N/O2)C3=CC(=CC=C3)C(F)(F)F)C4=CC(=CC=C4)C(F)(F)F
NCGC00373329-01,FC(F)(F)C1=CC=CC(=C1)C/2=N/OC3(CCCN(CC4CCCCC4)C3)C2
NCGC00373330-01,FC(F)(F)C1=CC=CC(=C1)C/2=N/OC3(CCCN(CC4CCCC4)C3)C2
NCGC00373331-01,COC1=CC=C(CN2CCCC3(C2)C\C(=N/O3)C4=CC(=CC=C4)C(F)(F)F)C=C1
NCGC00373332-01,FC(F)(F)C1=CC=CC(=C1)C/2=N/OC3(CCCN(C3)C(=O)C4CCCCC4)C2
NCGC00373334-01,COC1=CC=C(C=C1)C/2=N/OC3(CCCN(CC4CCCCC4)C3)C2
NCGC00373335-01,COC1=CC=C(C=C1)C/2=N/OC3(CCCN(C3)C(=O)C4=CC=C(C=C4)C(F)(F)F)C2
NCGC00373338-01,COC1=CC=C(C=C1)C/2=N/OC3(CCCN(C3)[S+]([O-])(=O)C4=CC=CC=C4)C2
